trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
164,-1,520,3,4,0,320
164,-1,520,3,4,1,200
165,-1,1240,3,0,0,230
165,-1,1240,3,0,2,310
165,-1,1240,3,0,0,110
165,-1,1240,3,0,1,590
166,-1,650,3,5,0,200
166,-1,650,3,5,2,180
166,-1,650,3,5,0,70
166,-1,650,3,5,1,200
167,-1,530,3,0,0,530
168,-1,790,3,0,0,260
168,-1,790,3,0,1,170
168,-1,790,3,0,0,200
168,-1,790,3,0,2,160
169,-1,530,3,3,0,210
169,-1,530,3,3,1,320
170,1,2920,3,2,0,160
170,1,2920,3,2,2,400
170,1,2920,3,2,0,80
170,1,2920,3,2,1,360
170,1,2920,3,2,0,630
170,1,2920,3,2,2,1110
170,1,2920,3,2,0,80
170,1,2920,3,2,1,100
171,1,550,3,1,0,180
171,1,550,3,1,1,330
171,1,550,3,1,0,40
